"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
AKW,""Агаджари"",""Aghajari"",,,""Iran""
AKX,""Актюбинск"",""Aktyubinsk"",""50.25:57.21"",""Asia/Aqtobe"",""Kazakhstan""
AKY,""Ситуэ"",""Sittwe"",""20.1444444:92.8969444"",""Asia/Rangoon"",""Myanmar""
ALA,""Алматы"",""Almaty"",""43.255058:76.912628"",""Asia/Almaty"",""Kazakhstan""
ALB,""Олбани"",""Albany"",""42.6525793:-73.7562317"",""America/New_York"",""United States""
ALC,""Аликанте"",""Alicante"",""38.34521:-0.4809945"",""Europe/Madrid"",""Spain""
ALD,""Алерта"",""Alerta"",""-11.68:-69.33"",""America/Lima"",""Peru""
ALE,""Алпайн"",""Alpine"",""30.3584919:-103.6610115"",""+6.0"",""United States""
ALF,""Алта"",""Alta"",""69.98:23.37"",""Europe/Oslo"",""Norway""
ALG,""Алжир"",""Algiers"",""36.752887:3.042048"",""Africa/Algiers"",""Algeria""
ALH,""Олбани"",""Albany"",""-35.0238227:117.8847286"",""Australia/Perth"",""Australia""
ALI,""Элис"",""Alice"",""27.7522487:-98.0697249"",""America/Chicago"",""United States""
ALJ,""Александер-Бей"",""Alexander Bay"",""-28.60453:16.48712"",""Africa/Johannesburg"",""South Africa""
ALK,""Асэлла"",""Asela"",""7.949604:39.139839"",""Africa/Addis_Ababa"",""Ethiopia""
ALL,""Альбенга"",""Albenga"",""44.0484502:8.2149591"",""Europe/Rome"",""Italy""
ALM,""Аламогордо"",""Alamogordo"",""32.8995325:-105.960265"",""America/Denver"",""United States""
ALN,""Альтон"",""Alton"",""38.8906038:-90.1842764"",""America/New_York"",""United States""
ALO,""Ватерлоо"",""Waterloo"",""42.4927641:-92.3429631"",""America/Chicago"",""United States""
ALP,""Халеб"",""Aleppo"",""36.215549:37.159279"",""Asia/Damascus"",""Syria""
ALQ,""Алегрети"",""Alegrete"",""-29.7848016:-55.775657"",""America/Fortaleza"",""Brazil""
ALR,""Александра"",""Alexandra"",""-45.2566329:169.3930242"",""Pacific/Auckland"",""New Zealand""
ALS,""Аламоса"",""Alamosa"",""37.4694491:-105.8700214"",""America/Denver"",""United States""
ALT,""Аленкер"",""Alenquer"",""-1.9424698:-54.7374382"",""America/Santarem"",""Brazil""
ALU,""Алула"",""Alula"",""11.95:50.73"",""Pacific/Honolulu"",""Somalia""
ALV,""Андорра-ла-Велья"",""Andorra La Vella"",,""Europe/Andorra"",""Andorra""
ALW,""Уолла Уолла"",""Walla Walla"",""46.0645809:-118.3430209"",""America/Chicago"",""United States""
ALX,""Александер Сити"",""Alexander City"",""32.944012:-85.9538532"",""America/North_Dakota/New_Salem"",""United States""
ALY,""Александрия"",""Alexandria"",""31.2135:29.9443"",""Africa/Cairo"",""Egypt""
ALZ,""Алитак"",""Alitak"",,""Asia/Kabul"",""United States""
AMA,""Амарилло"",""Amarillo"",""35.2219971:-101.8312969"",""America/Chicago"",""United States""
AMB,""Амбилоб"",""Ambilobe"",""-13.19554:49.050468"",""Indian/Antananarivo"",""Madagascar""
AMC,""Ам-Тиман"",""Am Timan"",""11.03:20.27"",""Africa/Ndjamena"",""Chad""
AMD,""Ахмадабад"",""Ahmedabad"",""23.0395677:72.5660045"",""Asia/Kolkata"",""India""
AME,""Альто-Молокуэ"",""Alto Molocue"",""-15.63:37.7"",""Africa/Maputo"",""Mozambique""
AMF,""Ама"",""Ama"",""-4.1:141.67"",""Pacific/Port_Moresby"",""Papua New Guinea""
AMG,""Каравари"",""Amboin"",""-4.6:143.5"",""Pacific/Port_Moresby"",""Papua New Guinea""
AMH,""Арба-Мынч"",""Arba Mintch"",""6.0333333:37.55"",""Africa/Addis_Ababa"",""Ethiopia""
AMI,""Матарам"",""Mataram"",""-8.56:116.09"",""Asia/Makassar"",""Indonesia""
AMJ,""Альменара"",""Almenara"",""-16.188682:-40.6879731"",""America/Sao_Paulo"",""Brazil""
AMK,""Дуранго"",""Durango"",""37.2:-107.87"",,""United States""
AML,""Пуэрто-Армуэллас"",""Puerto Armuellas"",""8.27:-82.86"",""America/Panama"",""Panama""
AMM,""Амман"",""Amman"",,""Asia/Amman"",""Jordan""
AMN,""Алма"",""Alma"",""-4.6:143.5"",""America/Chicago"",""United States""
AMO,""Мао"",""Mao"",""14.15:15.31"",""Africa/Ndjamena"",""Chad""
AMP,""Ампанихи"",""Ampanihy"",""-24.7:44.73"",""Indian/Antananarivo"",""Madagascar""
AMQ,""Амбон"",""Ambon"",""-3.7068937:128.1626039"",""Asia/Jayapura"",""Indonesia""
AMR,""Арно"",""Arno"",""7.0610128:171.647344"",""-12.0"",""Marshall Islands""
AMS,""Амстердам"",""Amsterdam"",""52.3730556:4.8922222"",""Europe/Amsterdam"",""Netherlands""
AMT,""Амата"",""Amata"",""-26.2682006:131.2602868"",""Australia/Adelaide"",""Australia""
AMU,""Аманаб"",""Amanab"",""-3.58:141.2"",""Pacific/Port_Moresby"",""Papua New Guinea""
AMV,""Амдерма"",""Amderma"",""69.7630556:61.6677778"",""Europe/Moscow"",""Russia""
AMW,""Эймса"",""Ames"",""42.02335:-93.625622"",""America/Chicago"",""United States""
AMX,""Амароо"",""Ammaroo"",""-21.74:135.24"",""Australia/Darwin"",""Australia""
AMY,""Амбатомаинти"",""Ambatomainty"",""-17.68:45.62"",""Indian/Antananarivo"",""Madagascar""
AMZ,""Ардмор"",""Ardmore"",""-37.0321395:174.9793777"",""Pacific/Auckland"",""New Zealand""
ANA,""Анахайм"",""Anaheim"",,""America/Los_Angeles"",""United States""
ANB,""Аннистон"",""Anniston"",""33.6598257:-85.8316318"",""America/North_Dakota/New_Salem"",""United States""
ANC,""Анкоридж"",""Anchorage"",""61.2180556:-149.9002778"",""America/Kentucky/Louisville"",""United States""
AND,""Андерсон"",""Anderson"",""40.11:-85.61"",""America/Chicago"",""United States""
ANE,""Анже"",""Angers"",""47.478419:-0.563166"",""Europe/Paris"",""France""
ANF,""Антофагаста"",""Antofagasta"",""-23.65:-70.4"",""America/Santiago"",""Chile""
